,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
10862,100600320,20140813T000000,213950.0,3,1.0,1430,7000,1.0,0,0,3,6,1430,0,1968,0,98023,47.3018,-122.369,1050,7700
9631,1233100720,20140925T000000,399000.0,3,1.0,860,9403,1.0,0,0,4,6,860,0,1942,1990,98033,47.6815,-122.173,2136,13009
9641,4391600065,20140814T000000,330000.0,2,0.75,520,6862,1.0,0,0,4,4,520,0,1924,1980,98010,47.326,-122.037,1170,8756
15686,1311030430,20140804T000000,1000000.0,5,2.5,4670,15857,2.0,0,0,3,11,4670,0,1998,0,98074,47.63,-122.011,3810,14824
11859,5244801275,20141121T000000,410500.0,2,1.0,1110,3943,1.0,0,0,5,6,740,370,1916,0,98109,47.6436,-122.352,1590,4311
15577,3374500290,20140714T000000,320900.0,3,2.0,1770,7251,1.0,0,0,4,8,1770,0,1990,0,98031,47.4087,-122.17,2560,7210
12236,1025039320,20150427T000000,1305000.0,4,3.5,3440,5000,2.0,0,0,3,11,2560,880,2006,0,98199,47.6672,-122.409,3090,10241
683,3438500486,20141016T000000,413000.0,4,3.5,2380,5809,2.0,0,0,4,7,1750,630,1995,0,98106,47.5536,-122.359,1620,5775
19718,3449500045,20141013T000000,495000.0,4,2.5,2980,12075,1.0,0,0,3,8,1910,1070,2007,0,98056,47.5074,-122.172,2240,12075
12994,6745700150,20140710T000000,749000.0,4,1.5,2130,5000,2.0,0,0,4,8,2130,0,1920,0,98144,47.5828,-122.291,2560,5000
17074,7985000010,20150415T000000,251000.0,3,1.75,1350,10125,1.0,0,0,3,8,1350,0,1967,0,98003,47.3334,-122.298,1520,9720
11292,5035300570,20140923T000000,650000.0,3,2.0,2300,5000,1.0,0,0,4,8,1150,1150,1938,0,98199,47.6521,-122.413,2300,5000
5666,9253900417,20150128T000000,1600000.0,3,2.5,2850,19593,1.5,1,4,3,10,1790,1060,1978,0,98008,47.5894,-122.111,2850,18782
3893,6385100100,20141002T000000,308000.0,3,1.75,1680,8629,1.0,0,0,3,8,1200,480,1977,0,98198,47.3662,-122.319,1990,8400
6597,8901000911,20150219T000000,425000.0,3,1.75,2120,5992,1.0,0,0,3,7,1060,1060,1947,0,98125,47.7083,-122.308,1840,11000
5317,7116000425,20141125T000000,150000.0,2,1.0,720,4120,1.0,0,0,5,5,720,0,1915,0,98002,47.303,-122.217,940,6180
13157,259600910,20141110T000000,485000.0,5,1.5,1420,9900,1.0,0,0,3,7,1050,370,1964,0,98008,47.6348,-122.118,1580,8075
10740,2881700273,20140819T000000,385000.0,4,2.0,1820,7102,1.0,0,0,3,7,1220,600,1950,0,98155,47.7447,-122.324,1650,8184
13754,3298200620,20140714T000000,358000.0,3,1.0,940,6695,1.0,0,0,4,6,940,0,1959,0,98008,47.6195,-122.12,1230,7400
13838,8732130730,20141120T000000,280000.0,3,1.75,1770,8240,1.0,0,0,4,7,1240,530,1978,0,98023,47.3066,-122.378,2060,8250
13871,2770600841,20140604T000000,640000.0,3,2.5,1690,1553,2.5,0,0,3,8,1690,0,2007,0,98199,47.6443,-122.385,1910,1553
17079,7446500010,20150507T000000,664500.0,4,2.25,3070,9210,2.0,0,0,3,8,2740,330,2010,0,98011,47.7638,-122.196,2580,9660
12076,2193310320,20150306T000000,595000.0,4,2.5,2330,7064,1.0,0,0,4,8,1780,550,1984,0,98052,47.6955,-122.097,1740,8075
